"";"nombre";"comuna";"calle";"clase";"lon";"lat"
"137";"Tenencia Estadio Nacional 60ª Comisaría Metro";"Ñuñoa";"Avenida Grecia";"Tenencia";-71,5425863;-70,7353505
"138";"Prefectura Santiago Rinconada";NA;"Haití";"Prefectura";-71,5425863;-70,7353505
"139";"1 Comisaría Viña del Mar";NA;NA;"Comisaría";-71,5425863;-70,7353505
"140";"50 Comisaría San Joaquín";"San Joaquin";"Avenida Alcalde Carlos Valdovinos";"Comisaría";-71,5425863;-70,7353505
"141";"Subcomisaria Rocas De Santo Domingo";NA;NA;"Subcomisaría";-71,5425863;-70,7353505
"142";"Retén San Gabriel (F)";NA;"Ruta G-25";"Retén";-71,5425863;-70,7353505
"143";"54 Comisaría Huechuraba";"Huechuraba";"Avenida Recoleta";"Comisaría";-71,5425863;-70,7353505
"144";"38 Comisaría Puente Alto";"Puente Alto";"Concha y Toro";"Comisaría";-71,5425863;-70,7353505
"145";"Tenencia Isla de Maipo";"ISLA DE MAIPO";"Manuel Rodríguez";"Tenencia";-71,5425863;-70,7353505
"146";"2 Comisaría Santiago Central Sur";"Santiago";"Toesca";"Comisaría";-71,5425863;-70,7353505
"147";"Retén Las Cruzadas";"Quillota";"Avenida Alfredo Dueñas";"Retén";-71,5425863;-70,7353505
"148";"2  Comisaría Graneros";"Graneros";"Guillermo Berrios";"Comisaría";-71,5425863;-70,7353505
"149";"Subcomisaría Providencia Sur";"Providencia";"Avenida Los Leones";"Subcomisaría";-71,5425863;-70,7353505
"150";"3 Comisaría Limache";"Limache";"Arturo Prat";"Comisaría";-71,5425863;-70,7353505
"151";"Tenencia O'Higgins";"Valparaíso";"Los Ingleses";"Tenencia";-71,5425863;-70,7353505
"152";"Carabineros de Chile - 3a Comisaría Norte";"Valparaíso";"Jorge Kenrick";"Comisaría";-71,5425863;-70,7353505
"153";"33 Comisaría Ñuñoa";"Ñuñoa";"Guillermo Mann";"Comisaría";-71,5425863;-70,7353505
"154";"48 Comisaría de Asuntos de la Familia";NA;"Dieciocho";"Comisaría";-71,5425863;-70,7353505
